gene	log2FC	FDR
CDHR3	-1.22	0.0853657990166614
CEP164	-0.44	0.0596462198901832
RBBP7	-0.28	0.0500366262779744
DYM	-0.39	0.0509217090853933
CCDC102A	0.38	0.0613300534559003
TMEM200C	0.93	0.112510870850116
AKAP3	-0.49	0.073145635137595
EIF4E2	0.43	0.050879237055715
PPOX	-0.33	0.0586897770087136
PPFIBP2	-0.39	0.0704501997723641
ENO1	-0.97	0.0556703560878274
TTC30B	0.53	0.0745350100007951
TMEM129	-0.29	0.0537195454417961
C8orf76	0.33	0.0542968175928591
IDO1	1.09	0.10441311692882
CENPW	-0.47	0.05921203943912
SH3KBP1	0.39	0.0507938606122393
ASGR1	-0.94	0.112415030995385
VOPP1	0.24	0.0534654134355192
TPTE2	0.95	0.101680884106203
SIK2	0.31	0.0521891046522067
METTL22	-0.32	0.0611254962803445
WRN	-0.38	0.0519152852316767
DCUN1D5	-0.46	0.0540884445300736
SLC38A6	-0.64	0.0834173347430789
ZNF454	1.32	0.112510870850116
ZHX3	0.45	0.056670279547225
GATAD1	0.46	0.0546894984031436
PBDC1	0.54	0.09486775917612
FAM210A	-0.41	0.0529231910594503
MARK4	0.44	0.0587572597422973
AC002398.9	-1.6	0.0944920359384105
NPM3	-0.85	0.0582293156851257
FANCB	-0.29	0.0560887531073063
CCDC122	0.49	0.07429640266404
CACUL1	0.24	0.0508436601402459
CEP112	0.71	0.0710339443498159
CAP2	0.75	0.101742827977064
ACBD4	-0.77	0.0660418563835562
PPM1B	0.23	0.0513811623937209
FIGNL1	-0.28	0.0521647245263786
SNRPD2	-0.46	0.0508436601402459
TMEM135	-0.54	0.0523795982309504
ZNF616	0.32	0.053845867616377
CTXN1	-1.19	0.106008630314427
NKIRAS1	0.36	0.0715051579660163
GATM	-0.5	0.0880096795741858
SLFN11	-0.26	0.0511603489850017
TIRAP	0.39	0.0739478473605098
CTH	-0.96	0.0690509545246626
ZNF420	-0.27	0.0566178813987081
RP11-514P8.6	1.08	0.075877987878351
ZNF774	0.71	0.0886140140426273
RAB2A	0.25	0.0511603489850017
ARPP19	0.26	0.0523348177088897
ZNRF2	0.32	0.0591981118139919
MRPL53	-0.27	0.0568504210656539
PLCG2	-0.47	0.0517350997875509
ATP6V0A1	0.93	0.0837752342479881
NEDD9	0.58	0.0583917500854293
COL1A1	1.04	0.103014965728601
APBB1	1.23	0.109459307196046
RNPEPL1	-0.42	0.0541854007869986
CBFA2T3	0.75	0.0913777774244561
WDR3	-0.6	0.0518995107472195
IRF1	-0.47	0.051884625941792
SPECC1L-ADORA2A	3.01	0.116028686605655
RCC1	-0.53	0.0511603489850017
NAAA	-0.31	0.0624872261616615
GAPDH	-0.59	0.0592626231031977
ACTR2	0.33	0.0537089388866713
NFAT5	0.53	0.0560886799607837
LRIF1	0.27	0.0520897852271168
SLC29A3	0.39	0.0662356802182887
OSBPL3	0.5	0.0624872261616615
SNRPD1	-0.46	0.0515703517394401
GPN3	-0.47	0.0558406488938276
BRWD1	0.29	0.0527522698923092
KIF7	0.36	0.0694372531816756
EXOC8	0.28	0.0540622725321991
RP11-1105G2.3	-0.61	0.109582618461661
PPIA	-0.45	0.0543784604766404
GTSF1L	0.74	0.10423018547205
ZNF326	0.27	0.0521891046522067
MITF	-0.45	0.0734903042970426
CNEP1R1	0.3	0.0591394198130438
MGST3	-0.65	0.0553887829816609
ZDHHC15	-0.62	0.0890896656200838
POLR3B	-0.77	0.0628125793161211
IQSEC2	0.64	0.0914124733283428
CCNB1IP1	-0.53	0.052179403453426
GS1-259H13.10	2.02	0.117372562749954
NFKB2	0.47	0.0574052722608397
SLC22A18AS	0.97	0.0923304826698885
HINT2	-0.34	0.0592604810518185
FAM13A	-0.59	0.0813203212748369
ERCC6L2	0.24	0.0524550734795048
ZDHHC9	-0.36	0.0599473333877669
GLTSCR2	-0.47	0.0530160884309754
AGK	-0.37	0.0599473333877669
COIL	-0.27	0.0547211975544052
FAM118B	0.5	0.0622659722782028
XRCC6BP1	-0.42	0.0677505729754351
C16orf74	-0.49	0.0595785640289644
ACP2	0.34	0.0600040985769309
MTA1	-0.28	0.0534172748512512
RPS23	-0.46	0.058457500241355
RHOH	0.73	0.0682483926264721
VKORC1	-0.53	0.0559740360026839
HMGCS1	-0.97	0.0538433123201817
EIF3H	-0.34	0.05440490555595
ITPR1	-0.49	0.0533344248775944
SDK1	1.15	0.115320859543809
LRBA	-0.4	0.0525915837266396
ISCU	0.31	0.0545670492774292
LIME1	0.66	0.0636552083487322
KCNAB3	-0.59	0.0827015788768554
TNFRSF1A	0.43	0.0576768784734993
ANXA1	-1.05	0.108361617588195
PIK3C2B	0.38	0.0541214319560682
ZNF24	0.24	0.0541229431380057
PRKCE	0.27	0.0529723457065119
ZNF891	-0.36	0.0688989721069508
APOBR	0.68	0.0794779272838223
ADM5	-0.45	0.0820816095983605
C19orf43	-0.31	0.0531720033829949
NEK3	-0.43	0.0727143479909142
BIN1	-0.3	0.057794470318339
RBKS	-0.71	0.0949167300210983
PFN4	-0.88	0.119764845656071
RPS20	-0.45	0.0587572597422973
ZNF692	-0.36	0.0553245458477216
GBF1	0.38	0.0542554544172037
B4GALT2	-0.62	0.0558183802009232
LY96	0.74	0.0789839875109515
SORBS1	0.32	0.0553576947651974
GADD45GIP1	-0.63	0.0579921628917635
PFN2	0.4	0.0595785640289644
UBA2	-0.3	0.0538232781731001
PITPNB	0.31	0.0550300057321396
ZFAND3	0.6	0.057482317084488
COPZ1	0.25	0.0534654134355192
UTP6	-0.33	0.0538290043362711
HVCN1	0.59	0.0559740360026839
HOXA7	0.4	0.0591394198130438
FASN	-0.84	0.0537089388866713
COX18	-0.37	0.0611254962803445
CCDC116	0.73	0.121700952656495
TBRG4	-0.44	0.057016794262833
TM9SF3	0.25	0.0558183802009232
NMD3	-0.38	0.0539686676024693
NKIRAS2	-0.43	0.0578027631225635
IFI16	-0.31	0.0538290043362711
C1orf123	-0.29	0.0581132319468739
GALNT10	0.58	0.0612515105086971
TSPAN3	0.26	0.0540622725321991
RNF103	0.42	0.0587414632971314
GPR107	0.27	0.0558406488938276
MTMR4	0.37	0.0541862439514878
WDR12	-0.6	0.0557498967300571
PRKDC	-0.39	0.0599315352857369
KIF3C	0.53	0.0595785640289644
ZNF792	0.27	0.0587572597422973
OXA1L	0.34	0.0544577599474748
C7orf50	-0.68	0.0748889575100322
TXNDC17	0.46	0.0582650260087193
EPB41L4A	0.88	0.120366632076297
TMEM189	0.31	0.058457500241355
MTIF2	-0.44	0.0556002294508063
VAT1L	-0.56	0.0551828311766797
MGAT5	0.44	0.0550108080292977
UBOX5	0.32	0.0662356802182887
ACLY	-0.56	0.0559021220447506
FAM53A	-0.52	0.0977206101396957
STOML2	-0.49	0.0550232736034592
ZFHX3	0.53	0.0574703683518427
ZNF148	0.33	0.0547211975544052
RPS19	-0.42	0.0591075250215034
SCAI	-0.4	0.0582221587342921
AMOT	-0.59	0.0591394198130438
C2	0.72	0.121393365660905
JKAMP	0.3	0.0586232118266489
RNF113A	-0.3	0.0595785640289644
ENPP7	-0.8	0.115847052882829
RP11-332O19.5	-0.61	0.101680884106203
MUC19	0.82	0.124044747458835
UTP14C	0.41	0.0578399441739189
GPR137C	0.55	0.0807496762486897
GOLGA2	0.33	0.058637146684477
EPHA7	0.63	0.0931157557774132
LMO2	-0.52	0.0560490586909871
RP11-849H4.2	-0.43	0.0813066102599376
ARAP2	0.38	0.0553577144970424
SLC10A7	-0.36	0.066238683509094
MCMBP	-0.35	0.0553943597369071
RP11-468E2.2	1.03	0.0994039059693716
SH3RF1	0.31	0.0668414209704202
SSH1	0.36	0.0665398237310901
GTF2F2	-0.43	0.058457500241355
TMEM106B	0.32	0.0585309454762312
ATP5O	-0.33	0.0555494514151008
DMD	-0.74	0.115453156701533
PHAX	0.27	0.0580402148924014
LTB4R2	-1.11	0.109003414534439
GTDC1	-0.41	0.0661612549335761
IFIT1	-0.98	0.0991343875755251
PREP	-0.33	0.061763205410511
SIPA1L2	1.69	0.075877987878351
IL18BP	0.62	0.0800939603352815
ALDH4A1	0.62	0.0660418563835562
HIST1H2BE	-0.97	0.0577766570341239
ZKSCAN4	0.28	0.0647907286860554
MX1	0.79	0.0857892831323324
VPS39	0.27	0.0566785398814817
C1orf63	0.35	0.0559961917622457
ITM2B	0.32	0.0561208927623544
FGFR1OP2	0.27	0.056462398848417
EEF2	-0.41	0.0653456933931603
C2orf42	0.31	0.0650162745581958
FTSJ1	-0.47	0.0585309454762312
TBC1D5	0.24	0.0559961917622457
DDX55	-0.4	0.0584139947550948
TAGLN2	-0.59	0.0562532660426093
ATG2A	0.36	0.0621713619321178
NSMCE2	-0.41	0.0634662948835943
FADS3	-0.74	0.0741107487728982
DSTYK	0.29	0.062825737688268
SCN1B	0.87	0.0969782387218105
PROB1	0.33	0.0728077394357745
KLF16	-0.4	0.0676671917332616
GRB10	0.23	0.0565924797069354
C17orf80	0.24	0.0588184351479803
PGRMC2	-0.28	0.0628125793161211
TMEM256-PLSCR3	0.58	0.0763844533494411
POLDIP3	0.23	0.0567295482480147
POMGNT1	0.37	0.0621713619321178
AK7	-0.89	0.123435358746271
ZDHHC11	-0.48	0.0791632582782816
PRRC1	0.25	0.0578027631225635
MBOAT7	0.46	0.0615946970527203
ABCB7	-0.35	0.058502105534955
CXorf38	0.41	0.0638942462033186
FLOT2	-0.3	0.0581132319468739
PRKAB2	-0.38	0.0638942462033186
RBBP9	-0.42	0.0656065648550958
KLHL23	-0.28	0.0581677692115966
BATF	-0.41	0.0773964570408556
C1QTNF3	-0.64	0.0880552989457006
AARSD1	-0.52	0.0652853796354375
CIT	-0.31	0.058502105534955
AP3D1	0.38	0.057889163935872
TMTC4	-0.44	0.0613300534559003
GNPDA2	0.32	0.068626632602567
VLDLR	0.41	0.057482317084488
VDR	-0.5	0.0743885800510218
DDX51	-0.32	0.0620115533864118
ZNF462	-0.41	0.0664990566143453
HOXA5	0.37	0.081114726945829
TRIM5	0.24	0.0592604810518185
ACY3	-0.91	0.0991343875755251
HACL1	-0.29	0.0615894268888422
OCA2	0.7	0.0743885800510218
IRF5	-0.82	0.110754186561078
ZMIZ2	0.37	0.0748889575100322
KDM1A	-0.39	0.057794470318339
SNRPA1	-0.35	0.0603887202569399
NOL11	0.5	0.0581132319468739
FOXN2	-0.31	0.0582650260087193
TREX2	-0.68	0.123866751952422
CHMP1A	0.34	0.0589203617807137
QTRT1	-0.55	0.0628771679767712
PLCXD2	0.55	0.0853657990166614
PINK1	0.64	0.0677330916683483
OTUD3	0.32	0.0619858258849974
PHF12	0.31	0.0607896245845315
ANKRD23	0.57	0.09305400684094
GPR158	0.29	0.0611254962803445
GMFB	0.38	0.0581132319468739
NR4A1	1.06	0.117957941684029
FLNA	0.5	0.0614882992816544
RINL	0.28	0.0656065648550958
ACSL3	-0.23	0.0581132319468739
DMAP1	0.29	0.0624987761831579
OASL	1.02	0.118468687884711
CDC37L1	0.38	0.0668414209704202
PRMT3	-0.54	0.0616909280970055
CUL4A	-0.35	0.058637146684477
C14orf119	0.33	0.0600268673962783
SOS2	0.37	0.0595785640289644
ELF3	1.2	0.13586828408344
CCDC92	0.45	0.073659740426894
ZNF658	-0.35	0.0718089675541504
SDHAF2	0.28	0.0642349193628875
FGF5	1.09	0.115739964282559
PRSS36	1.1	0.129450613174667
STRN3	0.27	0.0605079317639853
RRP1	-0.56	0.0622277585692152
CD164	0.26	0.0618646388499827
HIST1H2BG	-0.8	0.06031686828178
ZNF222	0.42	0.0764284181579115
SNX15	-0.3	0.0690825577437207
HIST1H2BD	-0.67	0.0621495865515404
C1orf53	0.87	0.120603423103176
AGBL2	-0.75	0.112415030995385
TRAPPC8	0.22	0.0589213665906808
SRPR	0.48	0.0595785640289644
RPS15A	-0.52	0.0634662948835943
ELOVL2	-0.5	0.0976176681124497
PCNXL3	0.5	0.0644517162815851
SMG6	0.33	0.0611750744582976
TSPAN5	-0.47	0.0842271070984877
PFKFB3	-0.73	0.0614202679469442
NUF2	-0.36	0.0600962467651847
SPEG	0.95	0.123589563748579
ZFYVE21	0.3	0.0690509545246626
INTS4	-0.24	0.0620817459853578
TUBGCP6	0.26	0.0596462198901832
TRAM2	-0.26	0.0647617067006979
AMIGO3	0.61	0.0681953428569136
LEAP2	-0.44	0.0927022440755931
BUB1B	-0.3	0.0592276649976441
PITPNC1	0.31	0.059416409417275
ERC1	0.29	0.0618646388499827
PLEKHH3	-0.72	0.0727881364329643
KIF18A	-0.31	0.0615843699357561
GPR135	-0.49	0.108606256180147
C15orf61	-0.59	0.0870487976983665
RPRD1A	-0.26	0.0597414162136753
PGS1	0.25	0.0638942462033186
ALG11	0.4	0.0694372531816756
RPS10-NUDT3	-0.97	0.115320859543809
NRXN2	-0.81	0.118593289967843
FAM72A	-0.55	0.0664755555123924
UBE2R2	0.23	0.0614360394418672
LMTK2	0.36	0.0638942462033186
ZNF703	0.92	0.107963968831278
ANGPTL6	-0.86	0.068587795135022
SREBF1	-0.36	0.0600038765812624
CDC73	0.29	0.0614360394418672
CISD3	-0.45	0.0687599583820968
PRPSAP2	-0.25	0.0624790483998041
HIST2H2BE	-0.73	0.0622756797480383
ADO	0.26	0.0618646388499827
SPTSSA	-0.27	0.0629996626975051
GTF2H2	-0.44	0.0676823794868146
FAM114A2	-0.28	0.0655006099519776
CNOT6	0.24	0.0614855813772924
PTRH1	-0.86	0.113438381427314
AMMECR1	-0.34	0.061580451094078
SYNGAP1	-0.45	0.0932433726874481
FRY	-0.53	0.062838228631981
COMMD9	-0.49	0.0695731997017589
LRRC66	0.59	0.129613970940993
KLHL13	0.52	0.09200426117884
ATP6AP1	0.24	0.0621713619321178
TMCO1	0.28	0.0628125793161211
SOHLH2	-0.88	0.131451713209764
ABTB2	1.51	0.133429880800637
HMG20B	0.26	0.062522281722783
PLA2G15	0.47	0.0724599390441483
SSRP1	-0.36	0.0617020286986571
SKAP2	0.29	0.06981546622956
ELP2	-0.21	0.0608640894270271
CDKN2B	0.89	0.126083031308702
WNT10A	0.95	0.123496707456831
PDCD4	-0.35	0.0619976243251588
HSPE1-MOB4	-1.34	0.128139903992334
PPP5D1	0.59	0.115453156701533
SULF2	-1.96	0.127365769099433
SQLE	-0.68	0.0612345065616359
LRRC40	-0.35	0.0628209848190049
PPTC7	0.43	0.0635757576394597
CCNDBP1	0.51	0.0614360394418672
RGS7	-0.8	0.110984924121369
USP37	-0.26	0.0615843699357561
ATP6V0A2	0.44	0.0621495865515404
KLHL25	0.48	0.0714806363278607
VARS2	0.39	0.0699581957935611
ENDOD1	-0.59	0.0694883679872758
APOBEC3C	-0.4	0.0656065648550958
AAMDC	-0.55	0.092664925511012
LPP	0.51	0.0616218082922258
TATDN1	-0.52	0.0676192436899533
HIST1H2AE	-0.92	0.0658151496837719
PTX3	0.86	0.130891456907028
VEGFB	-0.32	0.06981546622956
RPL31	-0.56	0.0668414209704202
TTLL11	-0.57	0.110037440676597
ZNF433	0.56	0.113508132502264
PPAPDC1B	0.52	0.0660418563835562
RPL15	-0.41	0.068626632602567
LFNG	0.58	0.128257281538748
GPR75	0.64	0.115453156701533
AC005003.1	-0.54	0.10297964122247
FAM120AOS	0.31	0.0659107640971357
C8orf31	0.54	0.113088456987724
HOOK2	0.24	0.0708583933513969
SFXN2	-0.51	0.0670584110173048
NANP	-0.3	0.0740156453483484
GCA	-0.46	0.06981546622956
MMGT1	0.28	0.0655006099519776
SUV420H2	-0.35	0.0708786511206061
NLGN3	0.67	0.108191136604338
UBAP1	0.24	0.0655722742883725
FANCL	-0.27	0.0675061618945277
ASL	-0.51	0.0750349191108167
CDIPT	0.22	0.0643745871166944
CHCHD2	-0.37	0.0638172445658579
SLCO4C1	-0.88	0.0748536669181124
PTPLB	0.24	0.0628125793161211
CCDC126	0.44	0.0929198982062854
SERBP1	-0.4	0.066949942103185
ABCE1	-0.37	0.0629987378040454
SPATA25	-0.75	0.125954004447361
LGALSL	0.79	0.110754186561078
WDR49	-0.88	0.118906754988369
YKT6	0.55	0.0674354359630499
QDPR	-0.58	0.0793721340462409
PRKCB	-0.81	0.0733212365425039
EEF1D	-0.31	0.0656214267238639
DNAJC16	0.33	0.0711390980031027
ACOX1	0.29	0.0643873706820733
ZNF93	0.21	0.0638172445658579
LAX1	1.17	0.139439583857093
EFCAB5	0.59	0.0997880976847826
MZB1	-0.77	0.0631361420060379
AIDA	0.33	0.0660418563835562
SEC24D	0.52	0.0664755555123924
ABCB6	0.51	0.0690825577437207
IRS1	0.45	0.063822083315981007
ZNF506	0.33	0.0655006099519776
GPC4	0.7	0.120366632076297
LPAR2	0.46	0.0840651896789767
CHD1L	-0.32	0.0643043630506542
LAMTOR3	0.24	0.0673366215265426
TNFRSF4	0.95	0.134905076409833
XRCC3	-0.42	0.0652853796354375
SS18L2	-0.32	0.0716175430644028
ALOX5AP	1.24	0.0704394168070433
ZNF282	-0.26	0.066238683509094
EZR	-0.27	0.0656065648550958
SMAD2	0.27	0.0638942462033186
SLC2A5	-0.93	0.100139830591768
PARD6G	0.74	0.134451309264671
NAA60	1.19	0.0931945779470698
KLF13	0.47	0.0638942462033186
ZNF556	0.79	0.142163042397732
CLPTM1	0.48	0.0674354359630499
DZIP1	-0.29	0.082168694186344
ZBED6	0.31	0.0680513697241744
ANAPC2	-0.31	0.0716404869259536
NFIA	0.57	0.0876867021972315
RTEL1-TNFRSF6B	-0.41	0.0881912953348988
SNRPN	0.31	0.0670584110173048
E2F7	0.32	0.0656065648550958
PTPRB	0.57	0.0674709316689661
CTC-360G5.1	-0.65	0.133298722253774
ETV3	0.29	0.0662356802182887
PIK3C2A	0.31	0.0638942462033186
ANKRD28	-0.35	0.0638942462033186
VDAC2	-0.31	0.0638942462033186
CTBP2	0.24	0.0639850939595536
XKR8	0.34	0.0874157659438552
MAP4K4	0.27	0.0645780087949602
NIPSNAP3A	-0.33	0.0660418563835562
SND1	-0.31	0.0655223031092976
TMEM221	-0.45	0.0965942630125534
CAAP1	-0.23	0.0696400498516722
CCR2	-1.23	0.139251932580223
JAGN1	-0.32	0.0691705365518035
TNFSF9	0.57	0.103063032596869
PTPMT1	-0.42	0.069986946754861
EMILIN2	0.28	0.0740389399935407
RAB1A	0.24	0.066150402153705
NOTCH2	0.43	0.0650027535845308
PPAN	-0.52	0.0665398237310901
FBXO25	-0.48	0.0793198389433891
EXOSC6	-0.32	0.0708475877519372
FLNC	0.79	0.128546881523283
LIMD2	0.38	0.0650033185561783
LDLR	-0.5	0.0648842426977474
LAMTOR4	-0.3	0.066949942103185
HIST1H3I	-0.97	0.0661612549335761
MOAP1	0.32	0.0676192436899533
ATG9A	0.32	0.0660418563835562
HIST1H2AK	-1.02	0.0652853796354375
SKI	0.62	0.0858170893142338
CCDC138	-0.42	0.0732733320925936
PSMG1	0.53	0.067361291685523
ANXA5	0.28	0.0654582499538344
CTC-479C5.12	0.27	0.0780254109884793
CCDC115	-0.28	0.0695731997017589
HIST1H1B	-0.57	0.0728640691637879
SMYD5	-0.46	0.07429640266404
ZNF415	-0.54	0.125554514408963
SH3PXD2B	0.39	0.0758144165593741
HIST2H4A	-0.69	0.0713724273804769
SPRY1	-1.04	0.09305400684094
GCH1	0.47	0.0754925589374237
PDE9A	0.7	0.136262669346035
HIST1H4C	-0.71	0.068626632602567
NHLRC4	0.48	0.0858170893142338
PHF15	-0.34	0.0691705365518035
SIK1	0.46	0.0942119376128217
PDCD2L	-0.57	0.0863907563501042
INPP5D	-0.37	0.065785346302115
GPR98	0.92	0.133964791588532
RCOR1	0.27	0.0661612549335761
NFE2L2	0.42	0.0677943919500957
OAZ2	0.43	0.0700384714182994
HMGCR	-0.64	0.0668678516303052
SFT2D1	0.25	0.0670981921081622
JAKMIP2	-0.39	0.0760504667203285
UIMC1	-0.23	0.0696161787971037
ZNF687	0.25	0.0687747660758117
CENPBD1	0.33	0.0802628630393428
NPB	0.75	0.128433443308245
FAM115C	-0.99	0.0931293738256148
FICD	0.76	0.0995010836769075
ZNF280D	0.35	0.0679686011188596
GNPAT	-0.3	0.0672751976756875
ADAM19	0.83	0.0932433726874481
TTC27	-0.52	0.0749080818916854
HIVEP3	0.63	0.0898951434471383
C1QBP	-0.56	0.0663043808949201
FKBP11	-0.71	0.0739478473605098
MAST4	0.56	0.0793198389433891
PDGFC	0.77	0.136352144568078
RPS6KC1	-0.32	0.0802628630393428
SMARCC1	-0.28	0.068587795135022
NUP133	-0.24	0.0665925927875862
RFK	0.39	0.0696161787971037
PORCN	-0.59	0.0936919389150491
SSR1	0.3	0.0669848689901803
PAPLN	-1.07	0.124193972946868
PPP2R5B	0.78	0.096057341824018
GUCY1A3	-0.32	0.0747854074518477
ACOT1	-0.45	0.110406428327977
CD320	-0.51	0.0707514845308449
SERF1B	-0.48	0.0827204598209426
CKS1B	-0.37	0.067361291685523
AC079210.1	0.53	0.131886638757288
PIAS3	0.43	0.0797789614592025
BCKDK	-0.5	0.0745749598222922
RAP1GDS1	-0.34	0.0687875810356548
FMNL2	-0.24	0.067728445338679
ATXN7L1	-0.34	0.0905060670896416
ATP13A3	-0.26	0.0687599583820968
CD9	-0.68	0.067361291685523
ZNF721	0.3	0.0689930184932064
RAD54L2	0.38	0.0687742478350534
HIST1H3H	-1.17	0.0720943787206549
IMPG2	0.86	0.138386903571129
CCDC146	0.46	0.0935866556949022
P4HTM	-0.62	0.112510870850116
TMEM173	0.73	0.0706815219764397
ZNF578	0.91	0.145349148704983
TUBGCP2	-0.2	0.0687599583820968
MDGA2	0.52	0.0995848965113528
THOC5	-0.24	0.0711458175330406
KIAA2018	0.52	0.0747378469010858
PLA2G4B	0.64	0.0937445095390272
PPIP5K1	0.32	0.070787768017962
ARHGEF18	0.32	0.0703936556739934
SLC25A13	-0.47	0.0747854074518477
CDK3	-0.47	0.107625306092147
TAB2	0.26	0.0704501997723641
ARL2BP	0.22	0.0729071622758462
FTCDNL1	-0.6	0.146289103742931
BDH1	-0.38	0.0696400498516722
IL17D	-0.82	0.147551417865298
RBM22	0.21	0.0687599583820968
MKL2	0.3	0.0774657232873007
RPL26	-0.48	0.074839235584558
ZNF22	-0.29	0.0682515661262195
EEF2K	-0.28	0.0685708807562486
ZNF772	0.4	0.0869291342299875
ITGA1	-0.96	0.149359288240829
TFAP2A	-0.37	0.0991343875755251
PLEKHM2	0.24	0.0708583933513969
LRRIQ1	-0.85	0.14457526127996
WBP1L	0.31	0.0727881364329643
FBXO16	-0.6	0.115847052882829
AKAP13	0.42	0.0687599583820968
ERO1LB	0.67	0.0776893591318397
RAPGEF1	-0.31	0.0727881364329643
TGFB2	0.57	0.150771587309961
STX2	0.33	0.075471135449254
BRE	-0.28	0.0745749598222922
DDAH2	0.26	0.0704394168070433
PKIA	-0.34	0.0732348951132456
VPS51	-0.34	0.0687747660758117
TLR9	0.61	0.0937672694473941
PTGR2	-0.32	0.0794011790827282
C20orf96	-0.41	0.112137051577784
PPP3CB	0.3	0.0716404869259536
AMER1	-0.35	0.0765376692380124
MEIS2	-0.37	0.0814440768279196
ZNF362	0.27	0.0814440768279196
GCLM	0.35	0.0805812436638544
ANKRD42	0.42	0.106089857668947
RP11-977G19.10	-1.61	0.11164227177829
ZMYM5	0.36	0.0750149721017089
PSAP	0.28	0.0747578892097944
CENPV	-0.35	0.0698577117926305
DLG2	-0.65	0.146757385221412
MFSD6	0.39	0.0878273039708951
KCNA5	-0.59	0.115933955925751
SPI1	-0.45	0.0785792089733553
MRPS18A	-0.33	0.0814396761906794
DAPK3	0.27	0.0762192932261531
SH3TC1	1.13	0.0897630561702763
ALPK1	-0.37	0.0740156453483484
ZSCAN9	0.28	0.0782471008248153
RPH3AL	-0.61	0.0827830264345237
CPSF3L	-0.21	0.0711194165489103
ZNF783	0.3	0.0973496891724467
LRRC37A3	0.7	0.13321501755772
C16orf70	0.29	0.0764125766098751
FOXRED1	-0.45	0.0773372448560009
HAUS7	-0.46	0.081785854775618
ATRAID	-0.3	0.0736638909085472
CLIP1	0.61	0.0711194165489103
MRPL30	-0.81	0.115320859543809
CDC23	-0.27	0.0711194165489103
PIP5KL1	0.85	0.165007601031921
USP40	-0.22	0.0757338780020809
C18orf32	0.49	0.0827050425916213
RARS	-0.4	0.0716404869259536
TNFRSF13C	-0.64	0.115054221459721
UBE2F	0.38	0.0755723828374279
MRPS6	-0.46	0.0794779272838223
TMEM159	0.45	0.0782988620867705
ASCC3	-0.33	0.0706729469119858
C7orf10	0.66	0.152494717955934
RP5-966M1.6	-0.46	0.110073044433201
PGD	-0.37	0.07063967804802
CLK4	0.32	0.0733383151559521
DCAF4	-0.33	0.0830695228641925
LRP1	0.82	0.0903823858917802
TMUB1	-0.23	0.0764718704087811
TLDC2	1.11	0.171108370443607
CIAO1	-0.24	0.0712524724366892
SUPT4H1	0.28	0.0734531444962788
POLR3GL	0.35	0.0802514519034946
TMEM39B	-0.28	0.0794779272838223
MALT1	0.29	0.0710672308924169
SUMF2	-0.25	0.0708042786139364
SFT2D2	0.33	0.0712524724366892
MACF1	0.41	0.0770724137479298
C11orf71	-0.54	0.130127083837914
ZNF430	0.28	0.0747402809940794
FOXK1	-0.25	0.0759098610445047
SLC43A2	0.5	0.0785792089733553
ZFYVE26	0.34	0.0764125766098751
MRFAP1L1	0.22	0.0726453750951242
ZNF439	0.34	0.073432881950493
PPP1CA	0.27	0.0722364916117184
SLC25A3	-0.33	0.0745749598222922
AMMECR1L	0.31	0.0756717303024684
ARHGEF17	0.81	0.135880838552145
ARRDC5	1.83	0.147713019674478
FAM134C	0.34	0.0721724853457897
SMNDC1	0.3	0.0778291736017556
ZSWIM3	0.28	0.0894564779648929
EIF3CL	-0.48	0.0735548876947221
EIF2B2	-0.26	0.0807496762486897
ZNF625-ZNF20	2.96	0.131871924880183
ZNF543	0.25	0.0846411277558821
TUBB2B	-0.89	0.155960546132139
MRPL14	-0.36	0.0754898073367452
YEATS4	-0.39	0.0737834430942853
PATE2	0.93	0.169378703130338
LY6G5B	0.38	0.0935866556949022
SYNPO2L	0.77	0.151561396801426
MRPL54	-0.38	0.0825983163725398
ACAA1	0.29	0.0752318747006821
LEKR1	-0.66	0.142965069357643
OR2W3	-0.5	0.134761744057572
SUSD4	0.51	0.0945405505314659
BPTF	0.3	0.0729071622758462
LGI2	0.82	0.155742036837963
ASNSD1	-0.27	0.0739478473605098
SMS	-0.34	0.0723194647274649
KIF21A	-0.52	0.0836215873670943
RAB20	-0.53	0.0837752342479881
ERP29	-0.36	0.0721792235324344
KIF13B	0.26	0.0739478473605098
FUCA1	0.38	0.0814440768279196
IKZF1	0.35	0.0739478473605098
RYBP	0.37	0.0748889575100322
PHC1	0.3	0.0758002333637946
TMEM115	0.24	0.0812621060618094
LRCH3	0.32	0.0745350100007951
QKI	0.34	0.0737250427293169
AC016757.3	-0.57	0.133964791588532
GSE1	-0.57	0.0784376449854439
CST7	-1.19	0.0835926815258021
MTMR14	-0.27	0.0745890531091607
SCYL1	0.26	0.0743166132977881
REM2	0.4	0.124246670491187
ULBP2	0.59	0.132214128457168
RFX2	-0.41	0.106008630314427
DYRK2	0.23	0.0729071622758462
RAB40C	-0.3	0.0811074885078411
SKIV2L2	-0.28	0.0729071622758462
ELF4	0.39	0.0829130640986063
RP11-321N4.5	-0.59	0.137560638504396
SLC35A2	0.4	0.0827242214934747
AUP1	-0.25	0.0733439225749285
CCDC176	-0.67	0.16183262405127
CDK7	-0.35	0.081785854775618
IL17RE	-0.63	0.152119118636505
DHX32	-0.45	0.100139830591768
BORA	-0.41	0.0793198389433891
DBF4	-0.35	0.0741916614869077
GABPB1	0.37	0.07429640266404
FAM188A	0.26	0.0827242214934747
SP140	0.76	0.165577551985208
HIST2H3C	-0.66	0.0774329216243084
